Omniva  [58.1260316,25.358787]
Omniva  [34,9]
Omniva  [59.3379836,27.4201844]
Omniva  [34,9]
Omniva  [59.144495,25.7513709]
Omniva  [59.3705612,25.0781188]
Omniva  [34,9]
Omniva  [58.4077809,24.3559478]
Omniva  [26.91667,87.91667]
Omniva  [47.27541,8.4897]
Omniva  [59.5129635,24.8200001]
Omniva  [58.0784736,24.4983657]
Omniva  [34,9]
Omniva  [58.9402924,23.5422211]
Omniva  [59.4337655,26.2666029]
Omniva  [58.350774,26.789258]
Omniva  [59.095002,27.3146208]
Omniva  [34,9]
Omniva  [58.7735158,24.8165591]
Omniva  [34,9]
Omniva  [38.5,-0.5]
Omniva  [59.3577722,27.4171022]
Omniva  [34,9]
Omniva  [47.27541,8.4897]
Omniva  [59.3579653,24.9121106]
Omniva  [59.3537763,24.8924802]
Omniva  [59.343778,26.1303924]
Omniva  [58.8266465,22.772357]
Omniva  [41.91667,9.16667]
Omniva  [47.27541,8.4897]
Omniva  [58.9902534,22.754373]
Omniva  [47.27541,8.4897]
Omniva  [59.3338876,25.3330567]
Omniva  [34,9]
Omniva  [26.66667,87.5]
Omniva  [59.3105885,24.4325674]
Omniva  [59.3067094,24.4019425]
Omniva  [59.3057031,24.8403546]
Omniva  [59.2342215,24.6902013]
Omniva  [58.149447,24.953625]
Omniva  [59.3564128,26.9752779]
Omniva  [26.66667,87.5]
Omniva  [58.962314,26.0249024]
Omniva  [26.184027,-98.040418]
Omniva  [59.4024287,27.2846492]
Omniva  [59.4065837,27.2906999]
Omniva  [59.407228,27.2848929]
Omniva  [59.3978709,27.285885]
Omniva  [58.5340731,25.9430642]
Omniva  [58.6234235,23.6328881]
Omniva  [58.5801515,24.1493837]
Omniva  [58.4192715,26.7611678]
Omniva  [47.28167,8.45023]
Omniva  [59.4281058,25.0947888]
Omniva  [34,9]
Omniva  [34,9]
Omniva  [47.27541,8.4897]
Omniva  [59.4496065,25.4328719]
Omniva  [59.341346,24.6131528]
Omniva  [34,9]
Omniva  [41.66667,2]
Omniva  [59.378141,24.238757]
Omniva  [58.688593,23.8345575]
Omniva  [26.66667,87.16667]
Omniva  [59.4348523,24.9456225]
Omniva  [58.5710915,23.9872426]
Omniva  [26.58333,87.91667]
Omniva  [34,9]
